id,title,type,depends_on,worktree,agent_role,agent_id,status,evidence_path
E001,Baseline source foundation,epic,,,Orchestrator,,done,debug-deep.md
P001,Prove upstream import and debug build path,proof,E001,/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/foundation,Build Foundation Engineer,,done,proof-of-concept.md#P001
T001,Import Unexpected Keyboard exactly and set FrankenKey identity,implementation,P001,/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/foundation,Android Foundation Engineer,,done,proof-of-concept.md#T001
P003,Prove snippet slot model label generation and group paging,proof,T001,/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/snippets-model,Android Unit Tester,,done,proof-of-concept.md#P003
T002,Implement local snippet storage and label/grouping model,implementation,P003,/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/snippets-model,Android Data Model Engineer,,done,proof-of-concept.md#T002
P002,Prove additive top-row layout seam preserves keyboard behavior,proof,T001,/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/runtime-row,Android UI Prover,,done,proof-of-concept.md#P002
T004,Implement grouped horizontal snippet row above keyboard,implementation,"P002,T002",/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/runtime-row,Android IME UI Engineer,,done,proof-of-concept.md#T004
P004,Prove exact snippet insertion through InputConnection,proof,T002,/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/runtime-row,Android IME Tester,,done,proof-of-concept.md#P004
T005,Wire snippet taps to exact phrase commitText insertion,implementation,"P004,T004",/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/runtime-row,Android IME Integration Engineer,,done,proof-of-concept.md#T005
T003,Implement Fleksy-like snippet editor in settings,implementation,T002,/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/settings-editor,Android Settings UI Engineer,,pending,
P005,Prove FrankenKey identity and APK metadata remain valid,proof,"T001,T003,T005",/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/foundation,Android Release Engineer,,pending,proof-of-concept.md#P005
V001,Verify baseline Unexpected Keyboard behavior preserved,verification,"T001,T004,T005",/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/verification,Regression Tester,,pending,completion-report.md#V001
V002,Verify snippet editor storage grouping and label behavior,verification,"T002,T003,T004",/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/verification,Snippet Feature Tester,,pending,completion-report.md#V002
V003,Verify APK build install and IME smoke behavior,verification,"P005,V001,V002",/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/verification,Android E2E Tester,,pending,completion-report.md#V003
R001,Recursive and adversarial signoff,signoff,"V001,V002,V003",/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/review,Completion Reviewer + Adversarial Reviewer,,pending,completion-report.md#R001
