id,task,parent_id,depends_on,status,owner_agent_id,worktree,acceptance_criteria,evidence_path
P001,Prove upstream import/build tooling and submodule path,E001,,done,,/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/foundation,Upstream source can be imported with submodules; build prerequisites are known or resolved; exact blockers recorded if build cannot run.,proof-of-concept.md#P001
T001,Import upstream source unchanged except identity scaffolding,E001,P001,pending,,/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/foundation,Bottom keyboard source starts from Unexpected Keyboard; package/app identity becomes FrankenKey; baseline files are not refactored beyond required identity/build changes.,
P003,Prove snippet model boundaries,F001,T001,pending,,/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/snippets-model,"Executable proof covers label generation and group boundaries for 0,1,7,8,14,15 snippets.",proof-of-concept.md#P003
T002,Implement snippet storage model,F001,P003,pending,,/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/snippets-model,"Local-only snippet slots persist order, phrase, label/icon, icon flag; no network/account path is introduced.",
P002,Prove additive row layout seam,F002,T001,pending,,/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/runtime-row,Proof demonstrates the row can sit above the keyboard without changing Keyboard2View touch/key behavior.,proof-of-concept.md#P002
T004,Implement paged snippet row,F002,"P002,T002",pending,,/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/runtime-row,Enabled snippet row shows seven slots per group and scrolls/swipes horizontally between groups.,
P004,Prove exact phrase insertion,F003,T002,pending,,/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/runtime-row,Proof verifies commitText receives exactly the configured phrase with cursor position 1 and no appended space.,proof-of-concept.md#P004
T005,Implement snippet tap insertion,F003,"P004,T004",pending,,/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/runtime-row,Tapping a configured snippet inserts exact phrase and leaves keyboard open; empty slot behavior is safe.,
T003,Implement Fleksy-like editor,F004,T002,pending,,/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/settings-editor,"Settings UI supports fixed slots, phrase entry, auto label preview, optional icon-style labels, clear/edit empty slots.",
P005,Prove app identity and debug APK metadata,E002,"T001,T003,T005",pending,,/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/foundation,"Manifest/method metadata, package id, app label, and debug signing produce a distinct FrankenKey debug APK.",proof-of-concept.md#P005
V001,Regression verify baseline keyboard,V,"T001,T004,T005",pending,,/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/verification,"Normal key entry, modifiers, gestures, settings, and layout remain Unexpected Keyboard behavior.",completion-report.md#V001
V002,Feature verify snippets,V,"T002,T003,T004,T005",pending,,/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/verification,"Editor, persistence, seven-slot grouping, horizontal group navigation, and insertion behavior meet PRD criteria.",completion-report.md#V002
V003,Build and runtime smoke,V,"P005,V001,V002",pending,,/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/verification,"Debug APK builds; install/IME smoke succeeds if SDK/device/emulator prerequisites are available, otherwise exact blocker is recorded.",completion-report.md#V003
R001,Final recursive and adversarial review,R,"V001,V002,V003",pending,,/Users/apple/Documents/UNCLUTTER-NEW/CLAUDE-DEV/FrankenKey/.prd-runs/frankenkey-hybrid-keyboard/20260705T161907Z-5c0f9642/worktrees/review,All acceptance criteria have evidence; no unresolved high/medium findings; signoff status recorded.,completion-report.md#R001
